uid,ID,Name,Text,Derived From,Satisfied By,Verified By,Traced To,Refined By,Includes,
8a82351e-ce7a-11f0-8c51-645d8628c2f6,CON-001,Fabricación en microgravedad,El sistema deberá proveer un servicio de fabricación en microgravedad.,[],[],[],['CON-002', 'CON-003', 'CON-004', 'CON-010'],[],,
c29370b8-ce7e-11f0-8c51-645d8628c2f6,CON-005,Recuperación,El sistema deberá proveer un servicio de reentrada y recuperación.,['CON-010'],[],[],[],[],,
d07ce2b6-ce80-11f0-8c51-645d8628c2f6,CON-009,Órbita,El sistema deberá operar en órbita LEO,['CON-007'],[],[],[],[],,
bb881948-cecb-11f0-8c51-645d8628c2f6,CON-002,Integración Payload,El sistema deberá permitir la integración de cargas útiles de manufactura mediante una interfaz estandarizada.,['CON-001'],[],[],[],[],,
fa2ab3e8-cecd-11f0-8c51-645d8628c2f6,CON-003,Estabilidad,El sistema deberá proporcionar un entorno de microgravedad estable durante las operaciones de fabricación.,['CON-001'],[],[],[],[],,
6c6ba6c8-cecf-11f0-8c51-645d8628c2f6,CON-007,Rentabilidad,El sistema deberá minimizar el costo por ciclo de fabricación.,[],[],[],['CON-008', 'CON-009'],[],,
7261c564-cedc-11f0-8c51-645d8628c2f6,CON-008,Compatibilidad Rideshare,El sistema deberá ser compatible con el programa RideShare de SpaceX,['CON-007'],[],[],[],[],,
94db7f08-cedd-11f0-8c51-645d8628c2f6,CON-006,Seguridad,El sistema deberá garantizar la seguridad del Payload durante todas las fases de misión,[],[],[],[],[],,
dbd728c0-cede-11f0-8c51-645d8628c2f6,CON-004,Duración,El sistema deberá operar de forma autónoma durante un máximo de [TBD] dias.,['CON-001'],[],[],[],[],,
6ccb8754-cfac-11f0-a009-645d8628c2f6,CON-010,Entorno,El sistema deberá operar en un entorno orbital terrestre.,['CON-001'],[],[],['CON-005'],[],,
